;0;1
0;noNeed;
1;noNeed;
2;simulation_time;20.94
3;agents_distance_walked;{35: 24.009591106017012}
4;average_distance_walked;24.009591106017012
5;agents_speeds;{35: 1.1465898331431237}
6;average_speed;1.1465898331431237
7;average_density;1.0
8;average_time;20.94
9;new_metric;2.4884133644953494
10;cassol_metric;2.0328690052271847
11;normalized_total_simulation_time;20.94
12;normalized_average_simulation_time;20.94
13;normalized_average_speed;1.1465898331431237
14;normalized_average_distance_walked;24.009591106017012
15;minimum_simulation_time;20.94
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;225
20;maximum_cell_density_id;1-21
21;maximum_agent_speed;1.2000000000000886
22;minimum_agent_speed;0.8657950410196035
23;maximum_distance_walked;24.009591106017012
24;minimum_distance_walked;24.009591106017012
