;0;1
0;noNeed;
1;noNeed;
2;simulation_time;23.04
3;agents_distance_walked;{4: 26.541840244265757}
4;average_distance_walked;26.541840244265757
5;agents_speeds;{4: 1.1519895939351457}
6;average_speed;1.1519895939351457
7;average_density;1.0
8;average_time;23.04
9;new_metric;2.509353218807991
10;cassol_metric;2.0461729647717024
11;normalized_total_simulation_time;23.04
12;normalized_average_simulation_time;23.04
13;normalized_average_speed;1.1519895939351457
14;normalized_average_distance_walked;26.541840244265757
15;minimum_simulation_time;23.04
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;163
20;maximum_cell_density_id;1-25
21;maximum_agent_speed;1.200000000000088
22;minimum_agent_speed;0.9076842589530664
23;maximum_distance_walked;26.541840244265757
24;minimum_distance_walked;26.541840244265757
