;0;1
0;noNeed;
1;noNeed;
2;simulation_time;45.08
3;agents_distance_walked;{7: 49.518406606034326}
4;average_distance_walked;49.518406606034326
5;agents_speeds;{7: 1.0984562246236542}
6;average_speed;1.0984562246236542
7;average_density;1.0
8;average_time;45.08
9;new_metric;2.531737054717446
10;cassol_metric;2.0463141023484175
11;normalized_total_simulation_time;45.08
12;normalized_average_simulation_time;45.08
13;normalized_average_speed;1.0984562246236542
14;normalized_average_distance_walked;49.518406606034326
15;minimum_simulation_time;45.08
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;1571
20;maximum_cell_density_id;11-7
21;maximum_agent_speed;1.2000000000001132
22;minimum_agent_speed;0.20647422819309078
23;maximum_distance_walked;49.518406606034326
24;minimum_distance_walked;49.518406606034326
