;0;1
0;noNeed;
1;noNeed;
2;simulation_time;68.14
3;agents_distance_walked;{86: 73.70119147275425}
4;average_distance_walked;73.70119147275425
5;agents_speeds;{86: 1.0816141983086915}
6;average_speed;1.0816141983086915
7;average_density;1.0
8;average_time;68.14
9;new_metric;2.5413429307585433
10;cassol_metric;2.047192483108771
11;normalized_total_simulation_time;68.14
12;normalized_average_simulation_time;68.14
13;normalized_average_speed;1.0816141983086915
14;normalized_average_distance_walked;73.70119147275425
15;minimum_simulation_time;68.14
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;2260
20;maximum_cell_density_id;5-15
21;maximum_agent_speed;1.2000000000001123
22;minimum_agent_speed;0.057719853458892724
23;maximum_distance_walked;73.70119147275425
24;minimum_distance_walked;73.70119147275425
