;0;1
0;noNeed;
1;noNeed;
2;simulation_time;65.54
3;agents_distance_walked;{5: 72.65949154352407}
4;average_distance_walked;72.65949154352407
5;agents_speeds;{5: 1.1086281895563634}
6;average_speed;1.1086281895563634
7;average_density;1.0
8;average_time;65.54
9;new_metric;2.5689846715776916
10;cassol_metric;2.0698240806304993
11;normalized_total_simulation_time;65.54
12;normalized_average_simulation_time;65.54
13;normalized_average_speed;1.1086281895563634
14;normalized_average_distance_walked;72.65949154352407
15;minimum_simulation_time;65.54
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;0-1
21;maximum_agent_speed;1.200000000000108
22;minimum_agent_speed;0.2930683397976566
23;maximum_distance_walked;72.65949154352407
24;minimum_distance_walked;72.65949154352407
