;0;1
0;noNeed;
1;noNeed;
2;simulation_time;55.9
3;agents_distance_walked;{24: 63.43627777560836}
4;average_distance_walked;63.43627777560836
5;agents_speeds;{24: 1.1348171337318134}
6;average_speed;1.1348171337318134
7;average_density;1.0
8;average_time;55.9
9;new_metric;2.5869991388882996
10;cassol_metric;2.0866182148492802
11;normalized_total_simulation_time;55.9
12;normalized_average_simulation_time;55.9
13;normalized_average_speed;1.1348171337318134
14;normalized_average_distance_walked;63.43627777560836
15;minimum_simulation_time;55.9
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;38
20;maximum_cell_density_id;7-10
21;maximum_agent_speed;1.2000000000001687
22;minimum_agent_speed;0.4726768138915999
23;maximum_distance_walked;63.43627777560836
24;minimum_distance_walked;63.43627777560836
